cnpj;razao_social;numero_nota;data_emissao;codigo_item;descricao_item;quantidade;valor_unitario;imposto_item
35.987.640/0001-11;Araújo e Filhos;403378;2025-04-21;748875;A liberdade de avançar mais facilmente;7;353.78;343.65
35.987.640/0001-11;Araújo e Filhos;403378;2025-04-21;727874;O prazer de avançar com confiança;9;995.61;2035.86
35.987.640/0001-11;Araújo e Filhos;403378;2025-04-21;658524;A certeza de inovar com força total;8;234.51;224.7
35.987.640/0001-11;Araújo e Filhos;403378;2025-04-21;697214;A arte de mudar direto da fonte;1;862.21;172.42
35.987.640/0001-11;Araújo e Filhos;403378;2025-04-21;280009;A possibilidade de concretizar seus projetos com toda a tranquilidade;10;508.52;911.68
35.987.640/0001-11;Araújo e Filhos;392676;2025-05-08;268360;O prazer de atingir seus objetivos com toda a tranquilidade;8;418.57;597.42
35.987.640/0001-11;Araújo e Filhos;392676;2025-05-08;218680;A segurança de ganhar mais facilmente;7;830.96;1054.82
35.987.640/0001-11;Araújo e Filhos;392676;2025-05-08;379349;O conforto de concretizar seus projetos em estado puro;10;251.35;522.72
35.987.640/0001-11;Araújo e Filhos;392676;2025-05-08;302005;A possibilidade de conseguir mais rapidamente;7;471.06;802.41
35.987.640/0001-11;Araújo e Filhos;409690;2024-11-28;828625;A possibilidade de conseguir antes de tudo;9;637.73;902.87
35.987.640/0001-11;Araújo e Filhos;409690;2024-11-28;360796;O poder de evoluir de maneira eficaz;7;214.49;270.36
35.987.640/0001-11;Araújo e Filhos;139216;2025-01-12;555300;A segurança de ganhar simplesmente;9;252.36;248.43
35.987.640/0001-11;Araújo e Filhos;139216;2025-01-12;623421;A liberdade de avançar antes de tudo;5;963.77;536.07
35.987.640/0001-11;Araújo e Filhos;777317;2025-04-14;322363;A vantagem de evoluir simplesmente;4;714.83;341.35
35.987.640/0001-11;Araújo e Filhos;777317;2025-04-14;917762;O conforto de atingir seus objetivos de maneira eficaz;2;753.45;155.88
35.987.640/0001-11;Araújo e Filhos;777317;2025-04-14;340081;A arte de atingir seus objetivos direto da fonte;10;697.78;471.99
35.987.640/0001-11;Araújo e Filhos;977656;2025-04-30;847428;A certeza de evoluir com confiança;10;773.52;1279.13
35.987.640/0001-11;Araújo e Filhos;977656;2025-04-30;879653;O poder de conseguir sem preocupação;7;166.17;102.2
35.987.640/0001-11;Araújo e Filhos;977656;2025-04-30;952750;A simplicidade de concretizar seus projetos antes de tudo;3;571.84;244.18
35.987.640/0001-11;Araújo e Filhos;977656;2025-04-30;599974;A simplicidade de mudar de maneira eficaz;9;730.65;762.92
35.987.640/0001-11;Araújo e Filhos;977656;2025-04-30;611643;O poder de ganhar com toda a tranquilidade;3;651.26;162.28
35.987.640/0001-11;Araújo e Filhos;557439;2025-04-30;422604;A certeza de ganhar direto da fonte;4;64.62;32.49
35.987.640/0001-11;Araújo e Filhos;557439;2025-04-30;769034;A liberdade de realizar seus sonhos antes de tudo;7;447.59;304.58
35.987.640/0001-11;Araújo e Filhos;557439;2025-04-30;208807;O prazer de inovar mais facilmente;5;546.8;385.43
35.987.640/0001-11;Araújo e Filhos;557439;2025-04-30;525330;A segurança de avançar com força total;8;464.01;216.34
35.987.640/0001-11;Araújo e Filhos;557439;2025-04-30;625052;A arte de ganhar naturalmente;2;969.36;278.32
35.987.640/0001-11;Araújo e Filhos;528774;2025-03-11;650796;O poder de mudar com toda a tranquilidade;6;57.47;48.61
35.987.640/0001-11;Araújo e Filhos;528774;2025-03-11;462129;O poder de conseguir em estado puro;4;517.5;243.02
35.987.640/0001-11;Araújo e Filhos;528774;2025-03-11;793009;A arte de atingir seus objetivos mais rapidamente;10;184.0;174.25
35.987.640/0001-11;Araújo e Filhos;528774;2025-03-11;364464;A vantagem de ganhar direto da fonte;5;459.3;567.88
35.987.640/0001-11;Araújo e Filhos;528774;2025-03-11;752817;A certeza de realizar seus sonhos com toda a tranquilidade;1;881.35;169.37
35.987.640/0001-11;Araújo e Filhos;902118;2025-03-23;818592;A arte de atingir seus objetivos com confiança;7;517.81;701.55
35.987.640/0001-11;Araújo e Filhos;902118;2025-03-23;736475;A possibilidade de evoluir simplesmente;5;683.49;778.63
35.987.640/0001-11;Araújo e Filhos;902118;2025-03-23;150021;A liberdade de atingir seus objetivos direto da fonte;9;827.6;413.26
35.987.640/0001-11;Araújo e Filhos;902118;2025-03-23;757201;A vantagem de inovar naturalmente;2;833.57;196.93
35.987.640/0001-11;Araújo e Filhos;902118;2025-03-23;951016;A certeza de inovar simplesmente;3;292.94;125.42
35.987.640/0001-11;Araújo e Filhos;518580;2025-02-05;524874;O direito de concretizar seus projetos sem preocupação;10;549.17;385.71
35.987.640/0001-11;Araújo e Filhos;518580;2025-02-05;660654;A possibilidade de concretizar seus projetos com confiança;3;719.93;491.76
35.987.640/0001-11;Araújo e Filhos;518580;2025-02-05;571660;A liberdade de avançar com toda a tranquilidade;6;701.33;798.87
35.987.640/0001-11;Araújo e Filhos;518580;2025-02-05;289253;O prazer de mudar direto da fonte;1;521.83;46.52
35.987.640/0001-11;Araújo e Filhos;400722;2025-01-13;990456;A simplicidade de evoluir de maneira eficaz;2;597.83;226.31
35.987.640/0001-11;Araújo e Filhos;400722;2025-01-13;889109;A simplicidade de concretizar seus projetos com força total;7;844.5;1111.17
35.987.640/0001-11;Araújo e Filhos;400722;2025-01-13;494280;O direito de atingir seus objetivos direto da fonte;6;250.82;225.65
35.987.640/0001-11;Araújo e Filhos;579403;2025-03-05;178340;O poder de concretizar seus projetos naturalmente;4;357.24;339.71
35.987.640/0001-11;Araújo e Filhos;579403;2025-03-05;303879;O conforto de conseguir mais rapidamente;9;167.03;263.17
35.987.640/0001-11;Araújo e Filhos;579403;2025-03-05;578431;A simplicidade de evoluir com confiança;3;683.5;246.43
35.987.640/0001-11;Araújo e Filhos;579403;2025-03-05;543341;A segurança de realizar seus sonhos simplesmente;10;898.12;1949.36
35.987.640/0001-11;Araújo e Filhos;579403;2025-03-05;928071;O direito de evoluir sem preocupação;4;949.88;577.46
35.987.640/0001-11;Araújo e Filhos;482068;2025-03-23;452179;O direito de realizar seus sonhos naturalmente;4;470.04;213.39
35.987.640/0001-11;Araújo e Filhos;482068;2025-03-23;836239;O conforto de concretizar seus projetos sem preocupação;1;243.2;49.36
35.987.640/0001-11;Araújo e Filhos;482068;2025-03-23;396827;A simplicidade de inovar em estado puro;9;708.02;767.3
35.987.640/0001-11;Araújo e Filhos;879059;2025-02-16;207696;A certeza de concretizar seus projetos mais rapidamente;8;249.25;264.26
35.987.640/0001-11;Araújo e Filhos;896437;2025-04-01;902001;A simplicidade de inovar antes de tudo;5;852.5;798.14
35.987.640/0001-11;Araújo e Filhos;896437;2025-04-01;332768;A possibilidade de avançar mais facilmente;9;461.39;263.97
35.987.640/0001-11;Araújo e Filhos;208745;2024-12-13;488300;O poder de evoluir com confiança;2;317.18;114.16
35.987.640/0001-11;Araújo e Filhos;208745;2024-12-13;291018;O prazer de atingir seus objetivos naturalmente;8;772.61;1337.07
35.987.640/0001-11;Araújo e Filhos;726795;2025-01-17;749423;O poder de conseguir simplesmente;5;290.46;305.4
35.987.640/0001-11;Araújo e Filhos;140429;2025-04-24;105916;O poder de conseguir com força total;1;906.17;100.11
35.987.640/0001-11;Araújo e Filhos;140429;2025-04-24;928745;O direito de conseguir antes de tudo;9;581.29;972.22
35.987.640/0001-11;Araújo e Filhos;140429;2025-04-24;288115;O poder de atingir seus objetivos em estado puro;3;998.43;204.06
